image,image_type,method,yeast_label,area_px,centroid_y,centroid_x,mean_green_intensity,mean_red_intensity,red_overlap_area_px,red_overlap_fraction,red_positive_threshold,red_positive_by_intensity,red_positive_by_overlap_or_centroid,red_positive,red_centroids_inside_yeast,nearest_red_centroid_distance_px
yeast_cyano_3.czi,combined,watershed,1,1269,304.6146572104019,499.6493301812451,148.5799842395587,14.84160756501182,597,0.47044917257683216,1.0,True,True,True,1,4.012962009935296
yeast_cyano_3.czi,combined,watershed,2,650,125.2523076923077,72.70615384615385,114.45538461538462,12.264615384615384,207,0.31846153846153846,1.0,True,True,True,1,4.530693025348415
yeast_cyano_3.czi,combined,watershed,3,388,420.3453608247423,503.3556701030928,175.1520618556701,19.314432989690722,168,0.4329896907216495,1.0,True,True,True,1,1.1836605306676897
yeast_cyano_3.czi,combined,watershed,4,581,206.20998278829603,220.80206540447503,86.49053356282272,9.401032702237522,158,0.2719449225473322,1.0,True,True,True,1,6.19514244477804
yeast_cyano_3.czi,combined,watershed,5,383,248.39686684073106,191.86945169712794,97.59007832898172,18.007832898172325,159,0.4151436031331593,1.0,True,True,True,1,1.657756441502395
yeast_cyano_3.czi,combined,watershed,6,480,112.52291666666666,22.766666666666666,135.8875,8.447916666666666,100,0.20833333333333334,1.0,True,True,True,1,2.9383347809128515
yeast_cyano_3.czi,combined,watershed,7,371,19.752021563342318,146.05390835579516,96.98652291105121,12.533692722371967,124,0.33423180592991913,1.0,True,True,True,1,1.6293064368387276
yeast_cyano_3.czi,combined,watershed,8,271,6.760147601476015,275.1660516605166,73.80442804428044,5.649446494464945,0,0.0,1.0,True,False,False,0,31.558866669218922
yeast_cyano_3.czi,combined,watershed,9,565,144.22477876106194,375.62300884955755,69.43008849557522,21.067256637168143,256,0.45309734513274336,1.0,True,True,True,1,1.463823968553398
yeast_cyano_3.czi,combined,watershed,10,267,49.02621722846442,374.64044943820227,73.00374531835206,19.411985018726593,114,0.42696629213483145,1.0,True,True,True,1,2.200060138384852
yeast_cyano_3.czi,combined,watershed,11,200,133.655,184.265,164.945,8.475,46,0.23,1.0,True,True,True,1,1.4166230580040668
yeast_cyano_3.czi,combined,watershed,12,298,236.11744966442953,312.6275167785235,72.19127516778524,14.181208053691275,150,0.5033557046979866,1.0,True,True,True,1,0.1375510778542807
yeast_cyano_3.czi,combined,watershed,13,416,284.52884615384613,409.7620192307692,102.88942307692308,4.170673076923077,9,0.021634615384615384,1.0,True,True,True,0,3.6547766377296873
yeast_cyano_3.czi,combined,watershed,14,233,329.52789699570815,399.07296137339057,88.3519313304721,4.652360515021459,16,0.06866952789699571,1.0,True,True,True,0,5.128577252508235
yeast_cyano_3.czi,combined,watershed,15,226,431.3495575221239,130.99115044247787,94.84955752212389,21.588495575221238,148,0.6548672566371682,1.0,True,True,True,1,4.904027592887784
